id	filename	md5	size	state
21170c72-5f99-40e3-9dba-893d2a473b72	21170c72-5f99-40e3-9dba-893d2a473b72/e8e40aea-8fc6-4f92-a4aa-74f94002e5c1.htseq.counts.gz	142f2002242651c83989a1cf3e8a41f0	252272	live
285bdba0-d48e-4b0b-947c-bfe5577eca20	285bdba0-d48e-4b0b-947c-bfe5577eca20/413446bc-5b88-4b58-8105-abd9cd7a5ddd.htseq.counts.gz	0768abe407726b0862f5118b364d37cd	243698	live
7b53aede-a148-45e4-a657-bc4b5f2e60ba	7b53aede-a148-45e4-a657-bc4b5f2e60ba/ee932a7b-ec6c-42dc-8290-5cf00932f495.htseq.counts.gz	e87f2f87c0872198ea6f736f42bb9c43	251778	live
7d71f3f2-7601-4856-a4a8-0eb9de28774a	7d71f3f2-7601-4856-a4a8-0eb9de28774a/0415a9b4-a58d-4641-ab1a-927ed7a04824.htseq.counts.gz	113baf539d464635e382bcc96386e747	246462	live
90ee4da4-5d50-4182-abea-14327e9557f8	90ee4da4-5d50-4182-abea-14327e9557f8/beecd1d5-6b7e-42fc-a623-b4bdb179f87d.htseq.counts.gz	5b97f8e0e9877ca61b96f5fd1a2eb7c6	248200	live
b1814bd0-dcc3-46ba-a37c-1fcf55f88c11	b1814bd0-dcc3-46ba-a37c-1fcf55f88c11/dcf5a350-7cff-475a-8f53-376422f990eb.htseq.counts.gz	af0164c7b6f97b78f4f69925e7f3d921	245636	live
d87d6c11-3ae9-4b66-afbd-d4a4b5bdb590	d87d6c11-3ae9-4b66-afbd-d4a4b5bdb590/89eb1fc8-6b38-446e-a4b0-fb9c520298dc.htseq.counts.gz	ceafaac2d582eb50e33f130dee65a472	248576	live
db8d5f08-b9f6-4c2f-92f6-fcd4a91091df	db8d5f08-b9f6-4c2f-92f6-fcd4a91091df/4adbd8cd-bc5b-46d5-9e22-29652771f8aa.htseq.counts.gz	961877091026034ff0cf44072d268b9f	243312	live
e19fc1b6-7957-4c6e-9e54-b6ea3319cedf	e19fc1b6-7957-4c6e-9e54-b6ea3319cedf/5fe28ffa-63af-4a8d-8512-b0742b4cded4.htseq.counts.gz	6f56d29547220bdf70ec34d018352dad	251961	live
f8f2f7a3-0a55-4c9d-9f5a-4e765674df3c	f8f2f7a3-0a55-4c9d-9f5a-4e765674df3c/33b759c0-0b57-403a-8426-122df5881832.htseq.counts.gz	2ca62675161f17e7d9a0acb2198c18a7	245276	live
